carries,conquest_epoch
Modulo,4435.0
Add,3604.0
Subtract,3307.0
Multiply,5527.0
Divide,2472.0
Modulo,4468.0
Add,3013.0
Subtract,2925.0
Multiply,6074.0
Divide,2425.0
Modulo,4377.0
Add,3830.0
Subtract,2686.0
Multiply,5800.0
Divide,2433.0
Modulo,4436.0
Add,3462.0
Subtract,2505.0
Multiply,5958.0
Divide,2286.0
Modulo,4854.0
Add,3235.0
Subtract,2776.0
Multiply,5851.0
Divide,2421.0
Modulo,4927.0
Add,3598.0
Subtract,2904.0
Multiply,5900.0
Divide,2174.0
Modulo,4651.0
Add,3498.0
Subtract,2474.0
Multiply,6357.0
Divide,2374.0
Modulo,4730.0
Add,2715.0
Subtract,2568.0
Multiply,6445.0
Divide,2507.0
Modulo,4848.0
Add,3606.0
Subtract,2659.0
Multiply,6724.0
Divide,2570.0
Modulo,4597.0
Add,3982.0
Subtract,2833.0
Multiply,6614.0
Divide,2430.0
Modulo,4937.0
Add,3328.0
Subtract,2691.0
Multiply,6151.0
Divide,2353.0
Modulo,4707.0
Add,3408.0
Subtract,2464.0
Multiply,5658.0
Divide,2267.0
Modulo,4463.0
Add,2933.0
Subtract,2590.0
Multiply,5409.0
Divide,2526.0
Modulo,4890.0
Add,2791.0
Subtract,2583.0
Multiply,6309.0
Divide,2290.0
Modulo,5049.0
Add,3805.0
Subtract,2443.0
Multiply,6197.0
Divide,2253.0
Modulo,4416.0
Add,3155.0
Subtract,2625.0
Multiply,6427.0
Divide,2458.0
Modulo,4369.0
Add,3255.0
Subtract,2756.0
Multiply,5418.0
Divide,2403.0
Modulo,4566.0
Add,3472.0
Subtract,3010.0
Multiply,6724.0
Divide,2405.0
Modulo,4694.0
Add,3790.0
Subtract,3093.0
Multiply,7076.0
Divide,2613.0
Modulo,4843.0
Add,3776.0
Subtract,2719.0
Multiply,5980.0
Divide,2503.0
Modulo,4353.0
Add,4013.0
Subtract,2995.0
Multiply,6205.0
Divide,2452.0
Modulo,4780.0
